key,en,source_sha256,it
457208500,"A cafe offering all kinds of coffee and specialty drinks. The Star-Crossed Tea Party runs daily from 18:00 to 02:00, with limited items and special benefits up for grabs. We look forward to your visit!",5a0280168582da21c85f25e976b97757f17ab60bd56ba6f333023642649cb297,"Un caffè che serve caffè di ogni tipo e bevande speciali. Lo Star-Crossed Tea Party si tiene ogni giorno dalle 18:00 alle 02:00, con articoli in edizione limitata e vantaggi speciali da aggiudicarsi. Ti aspettiamo!"
469652390,"Above Echoback Landing, the fading starlight figure still stands with sword in hand.",36c337634e197a52f549e5836358b793bd50793bf545d91fc2aef9a71d0e5114,"Sopra Echoback Landing, la figura dal bagliore stellare sempre più fioco è ancora in piedi, con la spada in pugno."
489739520,"Find the ""Introverted"" Hummin",5599df7d4b3d2c59a598d406a57d3adfa8de11494fbafba1cc991dac87ffcfe1,"Trova l'Hummin ""Introverso"""
495870995,"Find the ""Bad-Tempered"" Hummin",c7f1723365a85a1893312e1880972776127be9a07e754a9f36e62d29c0d9a843,"Trova l'Hummin ""Scontroso"""
506566772,"Legend has it that when Sherro grows old, it becomes a shooting star and returns to the stars. But why does the Omega Sherro who once commanded the stars refuse to leave? Where does the blade point—at an enemy, or at the starlight it has sworn to protect?",cc0b1c6e9e1f1a68f0153add9ebec9555f44d33cfb68b70ee04a0acf310f0d42,"Si narra che, quando Sherro invecchia, si trasformi in una stella cadente e faccia ritorno tra le stelle. Ma perché lo Sherro Omega che un tempo le comandava si rifiuta di andarsene? La sua lama punta verso un nemico o verso la luce stellare che ha giurato di proteggere?"
526441920,Find the item-loving Hummin,71551f525c61429e6ea48c6f41159e64b7b485db9f579c1c35391da391aa37ec,Trova l'Hummin appassionato di oggetti
1074743548,"<style=Hint_BgL>Temporary item. Usable only in this game; cannot be taken out during evacuation.</style>
Significantly increases defense against <style=Hint_BgL>targets on Hard difficulty or lower</style>.
With chips installed, <style=Hint_BgL>slightly increases stamina recovery</style>.",11ef5e05bf5bd4c87c6982af848c9042b10b5e4e81e97f1db594f33616c9962d,"<style=Hint_BgL>Oggetto temporaneo. Utilizzabile solo in questa partita; non può essere portato fuori durante l'evacuazione.</style>
Aumenta notevolmente la difesa contro i <style=Hint_BgL>bersagli a difficoltà Difficile o inferiore</style>.
Con un chip installato, <style=Hint_BgL>aumenta leggermente il recupero del vigore</style>."
1075101754,Irelia’s Gift,8b17b1a4c65b91a238b13447277b61c04126f07badaf2577cc464789a36ae159,Dono di Irelia
1075580377,"An egg containing extremely rare Prismana energy. Its shell shimmers with flowing light, and its life signs are exceptionally strong. It is guaranteed to hatch into a <style=Hint_BgL>Prismana Form</style> Aniimo, and using a Sparkling Cube on it may grant the <style=Hint_BgL>Shadow Sparkling</style> mutation.",87066f80bfc3629ebb19815d66c186ecc30a6170f72b0f190fd9bad4bfa40f74,Un uovo che racchiude rarissima energia Prismana. Una luce cangiante ne percorre il guscio e i suoi segnali vitali sono eccezionalmente intensi. Da questo uovo nascerà sicuramente un Aniimo in <style=Hint_BgL>Forma Prismana</style>; usare un Cubo Scintillante su di esso potrebbe conferirgli la mutazione <style=Hint_BgL>Scintillio d'Ombra</style>.
1076712050,"Grass green as jade, and the Susuta brushing through those emerald blades.",6b86afda24644db8ff5ed18c9d8aa122d3b394d0871977c5ad36731a3e18060d,"Erba verde come la giada, e il Susuta che fruscia tra quelle lame di smeraldo."
1077478733,You've reached today's gathering limit. Let them grow into Bloom Clusters a little longer.,cfcff1ac7dc3d84bf431e8b9e92735c0381c753b507ec33d1cfb7d4ba488eabd,Hai raggiunto il limite di raccolta di oggi. Lascia che crescano ancora un po' in Grappoli di Fioritura.
1078668781,A hover board that helps you <color=#d89c28>travel faster</color> and does not cost stamina. Can also be used in <color=#d89c28>Astra</color>.,e6e13faea862f5eb9581022b13bc84d06409a41940f21cb0c2f74f658a62672c,Una hoverboard che ti aiuta a <color=#d89c28>viaggiare più velocemente</color> e non consuma vigore. Può essere usata anche ad <color=#d89c28>Astra</color>.
1078925566,A Journey of Flowers and Butterflies,e00be094adf3a97f63bcba5dc428fff8ee9b83a2e9374c1a907fa48b8245cd28,Il Viaggio di Fiori e Farfalle
1079660835,"The scattered Irisalis Petals have settled here, awakening the energy sealed within. Craft your very own Legendary Aniipod: Irisalis and open a rift to where the Irisalis resides.",418dbb4c99bedd57a302fd47c94e2e81055b1b986038732216c90338831f463e,"I Petali di Irisalis sparsi si sono posati qui, risvegliando l'energia sigillata al loro interno. Costruisci il tuo Aniipod Leggendario: Irisalis e apri un varco verso il luogo in cui dimora l'Irisalis."
1086991371,Floral Rainbow Feather,5bed93efa31be828e2a7625c61ff513ab8166d55e6d8cfc6a354f9cdb46a3f70,Piuma Floreale Arcobaleno
1087173762,Take part in the Legendary Journey event.,f1aad64eaee09ed1c66a05184471c8dbc1334356506cd7f5fd187014ac5279d0,Partecipa all'evento Viaggio Leggendario.
1087679361,You've reached the weekly limit for Stamps earned in this week's Holo-Battle Sim season.,15ab3e70da935b2c27909c6ca33718e6c7c6d7e088b82dc8acb8752834e33f54,Hai raggiunto il limite settimanale di Timbri ottenibili nella stagione del Simulatore Holo-Battle di questa settimana.
1089040692,Team Points,7282563370f4335e539ee9e0ef86330a28788df149580a6777163aa604ec32c0,Punti Formazione
1090259010,Blink to a point 10 meters ahead of you. Cannot pass through walls. Cooldown: 90s.,0567760353ba08b5b542c1cee1e1acb33299ff4b1833f04a9c73b2363358d923,Ti teletrasporta in un punto a 10 metri davanti a te. Non attraversa i muri. Recupero: 90 s.
1090268264,Rift Space,e39adfef2ee8aa1c8ffa94fe16d59cd7abb8b4d3db744ce95190d3d6cff433e0,Spazio del Varco
1092047781,Sunlight glows as the otter gathers.,1c8cbcadec9c57c67b84b75277738f005efa133375ef3cdeae75e852a5aa8f88,Il sole splende tiepido e le zampette della lontra raccolgono bagliori dorati.
1092376121,BREAK Pursuit,cc32760ca813f23eae6b356246041826ba142b2c363cf514d9aa83d2bbb619dc,Inseguimento BREAK
1093893564,Obtained through the Forest of Butterfly Dreams set.,697a39a3817669b9aa4d148de1bf6c5d5d0fa59234de45c736c162710327fd36,Si ottiene tramite il set Foresta del Sogno di Farfalle.
1094697324,"The Somniwing and the Irisalis, wandering the world together, had never once witnessed the legendary Prismana Flow.
Just then, word arrived from home...",2dc643f327f8f85a030c85726db09c91d4773fc3ee9ad116308436424af55d1a,"Somniwing e Irisalis viaggiarono per il mondo, senza mai riuscire a vedere il leggendario Flusso Prismana.
Proprio allora, arrivarono notizie da casa..."
1101024288,"Move to the edge of the cliff, tap the [<style=Hint_BgL>Jump button</style>] to jump into the air.
Tap the [<style=Hint_BgL>Jump button</style>] again in the air to fly.",56e224f5ec578932a335d120a55922e0ead325f3af15dd0d00a8e6dacb9a16a7,"Portati sul bordo della scogliera e premi il [<style=Hint_BgL>Pulsante Salto</style>] per saltare in aria.
Premi di nuovo il [<style=Hint_BgL>Pulsante Salto</style>] mentre sei in aria per volare."
1101267076,"Text test, <color=#da8000>must support rich text</color>",4bb0dd53ec43dab672575b2a283e1523bac98c3870db104c06b53d529388541a,"Testo di prova, <color=#da8000>deve supportare il rich text</color>"
1101866909,"A light brush of the fingertips, light falling onto the string, gathering into a gleaming arrow.",85fc7a374f675383d49e2e68af9f01f7346ec8cc245c65eba507ae613988d861,"Un tocco leggero dei polpastrelli, la luce che si posa sulla corda per raccogliersi in una freccia scintillante."
1102247338,Receive the corresponding <style=Hint_BgL>Bonded Held Item</style> based on your choice of <style=Hint_BgL>Helion</style> or <style=Hint_BgL>Lunara</style>.,a5b3321233b37dd7cb6eb47abf3654b21eeaad5b853b944a1b218547763786e5,Ricevi il relativo <style=Hint_BgL>Strumento tenuto vincolato</style> in base alla tua scelta tra <style=Hint_BgL>Helion</style> e <style=Hint_BgL>Lunara</style>.
1102432241,Reach RV <style=Hint_BgL>Level 10</style> to claim your <style=Hint_BgL>Prismana Fenmane Egg</style>!,9963b1eaec3168110cc1e6b226f7df9e0ec6fb81c5d12561f508f1f4a257345d,Porta il camper al <style=Hint_BgL>Livello 10</style> per ricevere il tuo <style=Hint_BgL>Uovo di Fenmane Prismana</style>!
1103222300,"A butterfly’s dream takes flight, trailing light in its wake.",907df60c92a792e8e0bbd074f1ba5e25449cb65d5e0b578821c1ab8a7d727e9d,"Il sogno di una farfalla prende il volo, lasciando una scia di luce."
1104856835,Rewards Preview,077d03410dae0bb48486d785bce5c868c28c14a190e635ab7f20453a38aabb13,Anteprima ricompense
1106653905,"Splish, splash—see the Susuta dive right into the waves.",0c592b8ece6b94825eed9916851cb986d6b180ae30adb971e43df95614a85ab2,"Splish, splash—guarda il Susuta tuffarsi in mezzo alle onde."
1106836295,"Splish, splash—see the Susuta dive right into the waves.",0c592b8ece6b94825eed9916851cb986d6b180ae30adb971e43df95614a85ab2,"Splish, splash—guarda il Susuta tuffarsi in mezzo alle onde."
1107387973,You've reached today's gathering limit. Let them grow into Bloom Clusters a little longer.,cfcff1ac7dc3d84bf431e8b9e92735c0381c753b507ec33d1cfb7d4ba488eabd,Hai raggiunto il limite di raccolta di oggi. Lascia che crescano ancora un po' in Grappoli di Fioritura.
1107423120,"...I can't keep going. Can you do an Event with me? I need to wake myself up...
The only time I get to spend with my Aniimo friends is after work, right before bed. I can't fall asleep...",7d9dc5ab59d6deb216a4179fbb4ab8ef25ccb85f55f203227926557fd9dd319b,"...Non ce la faccio più. Puoi fare un Evento con me? Ho bisogno di darmi una svegliata...
L'unico momento che passo con i miei amici Aniimo è dopo il lavoro, giusto prima di dormire. Non riesco a prendere sonno..."
1109075226,Splashy Susuta - Left,76fff87d8c34cb397935a8aa3d55af4d3249b526ae22a28247c9a80663266d77,Susuta Schizzacqua - Sinistra
1112270746,"Sunset’s glow fills the sky, and the Susuta walks through its last light.",a80218bb88fc38c5a696d49f23c65016e5dc79d6eb794b1a7920939dab2fba35,"Il bagliore del tramonto riempie il cielo, e il Susuta cammina nella sua ultima luce."
1112705521,"That’s right! You can try it on your Aniimo too.
And if you can find the rarer <style=Hint_BgD>Star Sand</style>, or even <style=Hint_BgD>Starcryst Essence</style>, the effect will be even more potent!",ece632d0849f16b09a145df49149ebd9b69ee1ac8a412c5c77337d97af3fa96a,"Esatto! Puoi fare una prova anche con il tuo Aniimo.
E se trovi la più rara <style=Hint_BgD>Sabbia Stellare</style>, o addirittura l'<style=Hint_BgD>Essenza di Cristallo Stellare</style>, l'effetto sarà ancora più potente!"
1114132654,Illusory Basic Boost Chip,d3addf44149afa828dd0221e1d090e1c566c7535c48028ae3b320d8ed05e5b80,Chip Potenziamento Base Illusorio
1114452038,"Explore the ruins of the Lost Isles to find the entrance to the Lost Sanctum. Venture deep into the labyrinth in search of rare Eggs, then escape with them and evacuate by boat. <style=Hint_BgD>Eggs submitted during the run are shared with the entire team, and a successful extraction will earn you the Eggs</style>!
·   Warning: If you Faint, you will lose everything in your backpack along with what you’ve equipped!
·   Deployed Aniimo’s attributes are significantly tuned!
·   The quantity and quality of Eggs and supplies obtained are greatly increased!
·   Nightmare difficulty: high risk, high reward. Proceed with caution!",17e13654c1ef25cc09861d34c5b12c15e1b4ec25a8fa07d1d5c8ac5809e95276,"Esplora le rovine delle Lost Isles per trovare l'ingresso al Santuario Perduto. Avventurati nelle profondità del labirinto in cerca di Uova rare, poi fuggi con loro ed evacua in barca. <style=Hint_BgD>Le Uova consegnate durante la corsa sono condivise con tutta la squadra, e un'estrazione riuscita ti farà ottenere le Uova</style>!
·   Attenzione: se svieni, perderai tutto ciò che hai nello zaino insieme a ciò che hai equipaggiato!
·   Gli attributi degli Aniimo schierati sono notevolmente riequilibrati!
·   Quantità e qualità di Uova e rifornimenti ottenuti sono notevolmente aumentate!
·   Difficoltà Incubo: alto rischio, alta ricompensa. Procedi con cautela!"
1115134124,Press anywhere to close,792c86eaf8a0310293592f62603de664a8d40b4197e20614e6a90ec8cfbe44e0,Premi ovunque per chiudere
1115369155,Splashy Susuta - Left,76fff87d8c34cb397935a8aa3d55af4d3249b526ae22a28247c9a80663266d77,Susuta Schizzacqua - Sinistra
1116163789,Illusory Attack Amplifier - Exploration,cf9aa515ce0b98560fb61fcb20fa6b2cc62eac432cb9efd4d67b808b8f3cd3a3,Fantasma · Amplificatore ATT - Esplorazione
1116630769,"Ah, of course. It's time for me to head home... *yawn*...",98bb108093e05def0bbdae956e94d21b82e18f91ce738c7caeab49e081d7ce4d,"Ah, certo. È ora di tornare a casa... *sbadiglio*..."
1119190074,Stamina recovery speed +12%,7d4abc238b01c063bcb11b73a51b2dc5866e18242fd45c615b63ddc9548f01c2,Velocità recupero Vigore +12%
1119317435,Illusory Attack Amplifier - Mobility,71a8f537c3a9177a5394ec49345a608018cb9177f829f937fb86031cdbc25e93,Amplificatore d'Attacco Illusorio - Mobilità
1119469067,6 Teams,a163f651ccf056f3867844a302fb992a4f1af8dd96ffd24ffc87a7ba237edb2c,6 Squadre
1121254374,Illusory Protective Unit - Exploration,fdfbcab61ffad534921e416d64d535f1dd9ddc9e0556921374fcb6f605c617c9,Fantasma · Unità Protettiva - Esplorazione
1121329004,"An egg containing extremely rare Prismana energy. Its shell shimmers with flowing light, and its life signs are exceptionally strong. It is guaranteed to hatch into a <style=Hint_BgL>Prismana Form</style> Aniimo, and using a Sparkling Cube on it may grant the <style=Hint_BgL>Shadow Sparkling</style> mutation.",87066f80bfc3629ebb19815d66c186ecc30a6170f72b0f190fd9bad4bfa40f74,Un uovo che racchiude rarissima energia Prismana. Una luce cangiante ne percorre il guscio e i suoi segnali vitali sono eccezionalmente intensi. Da questo uovo nascerà sicuramente un Aniimo in <style=Hint_BgL>Forma Prismana</style>; usare un Cubo Scintillante su di esso potrebbe conferirgli la mutazione <style=Hint_BgL>Scintillio d'Ombra</style>.
1122568819,"<style=Hint_BgL>Temporary item. Usable only in this game; cannot be taken out during evacuation.</style>
Significantly increases defense against <style=Hint_BgL>targets on Chaos and Nightmare difficulties or lower</style>.
With chips installed, <style=Hint_BgL>significantly increases load capacity</style>.",fef2889499a8432c2d3b82aeeb9ff5f38771727e8c34dc2b539908a97cd2e333,"<style=Hint_BgL>Oggetto temporaneo. Utilizzabile solo in questa partita; non può essere portato fuori durante l'evacuazione.</style>
Aumenta notevolmente la difesa contro i <style=Hint_BgL>bersagli a difficoltà Caos, Incubo o inferiore</style>.
Con un chip installato, <style=Hint_BgL>aumenta notevolmente la capacità di carico</style>."
1123499066,Start game with {0}?,360f07382d0e402cbfd82370a0856503c8eca0e266e5ed3826594653c97e7e3d,Iniziare la partita con {0}?
1123610972,An Awakening Every Ten Years,44e595ce8d1f1b2e7741984e55cb8fa266ab1d75e7539f6d8274abf4d16d6cc4,Il Risveglio che Torna Ogni Dieci Anni
1124821463,"An egg containing extremely rare Prismana energy. Its shell shimmers with flowing light, and its life signs are exceptionally strong. It is guaranteed to hatch into a <style=Hint_BgL>Prismana Form</style> Aniimo, and using a Sparkling Cube on it may grant the <style=Hint_BgL>Shadow Sparkling</style> mutation.",87066f80bfc3629ebb19815d66c186ecc30a6170f72b0f190fd9bad4bfa40f74,Un uovo che racchiude rarissima energia Prismana. Una luce cangiante ne percorre il guscio e i suoi segnali vitali sono eccezionalmente intensi. Da questo uovo nascerà sicuramente un Aniimo in <style=Hint_BgL>Forma Prismana</style>; usare un Cubo Scintillante su di esso potrebbe conferirgli la mutazione <style=Hint_BgL>Scintillio d'Ombra</style>.
1125474181,Weekly Limit:,72789235572a9984443dcefa1310d8b32941a71448ef1f3bc1c5a57ca735aa21,Limite settimanale:
1126282939,"Sunset’s glow fills the sky, and the Susuta walks through its last light.",a80218bb88fc38c5a696d49f23c65016e5dc79d6eb794b1a7920939dab2fba35,"Il bagliore del tramonto riempie il cielo, e il Susuta cammina nella sua ultima luce."
1126323322,"After you pass the practical assessment at Berylline Vale, Loulla gives you precious Star Dust as a personal gift. It can awaken an Aniimo’s capability and guide its growth, while the rarer Star Sand and Starcryst Essence offer even stronger effects. To learn how to use it, you will need to return to the outpost and ask Dr. Lewis.",71f6b9d66f47421c2dec7024da50b85a58113f18d0a2c0550cfc955269a7754b,"Superata la valutazione pratica a Berylline Vale, ricevi da Loulla un regalo personale: della preziosa Polvere stellare. Può risvegliare le Capacità di un Aniimo e orientarne la crescita, mentre la Sabbia Stellare e l'Essenza di Cristallo Stellare, più rare, hanno effetti ancora più potenti. Per imparare a usarla dovrai tornare all'avamposto e chiedere al Dr. Lewis."
1126455768,Owl’s Poise,68b8603dada6c16bb6224f393145418df1b2b1937369d5ab73437a5c00b1071a,Portamento del Gufo
1128802399,Memories of the Veins,5eee37859be0241432e9e61af5e7101a3249a40edf4680ab10f1ff2a47a8ba9b,Memorie delle Vene
1128835299,Illusory Protective Unit - Endurance,8ecdfbccd546a10aae08fd7230f79723f37e91068ff27a4e72def3a90d19e6ba,Fantasma · Unità Difensiva - Resistenza
1130423310,"An egg containing extremely rare Prismana energy. Its shell shimmers with flowing light, and its life signs are exceptionally strong. It is guaranteed to hatch into a <style=Hint_BgL>Prismana Form</style> Aniimo, and using a Sparkling Cube on it may grant the <style=Hint_BgL>Shadow Sparkling</style> mutation.",87066f80bfc3629ebb19815d66c186ecc30a6170f72b0f190fd9bad4bfa40f74,Un uovo che racchiude rarissima energia Prismana. Una luce cangiante ne percorre il guscio e i suoi segnali vitali sono eccezionalmente intensi. Da questo uovo nascerà sicuramente un Aniimo in <style=Hint_BgL>Forma Prismana</style>; usare un Cubo Scintillante su di esso potrebbe conferirgli la mutazione <style=Hint_BgL>Scintillio d'Ombra</style>.
1131310038,Damage Reduction +5%,e38205bc8b6cde4f29348c9e33b345b2049b244504c055342e6ab5bc37d42170,Riduzione DAN +5%
1132862485,Tap [<style=Hint_BgL>Catch button</style>] to enter Catch Mode,521c6b3d01e68ac939b677d61d9a02e6a59effc86819b737d17f8d4e9afbcc14,Premi il [<style=Hint_BgL>Pulsante Cattura</style>] per entrare in Modalità Cattura
1134549964,Illusory Advanced Vigor Chip,2c0c9e3d965ab05d857b1d95eb41dc5a20567937c2596b33958ae8c8d71aeed6,Chip Vigore Avanzato Illusorio
1135356918,Damage dealt to Alphas in BREAK state is always treated as critical damage.,08285bba8a0e62e9ca4118fc1370f9a42c9b5b29d62fcfdd5ed5793631b9c849,I danni inflitti agli Alpha in stato BREAK vengono sempre considerati danni critici.
1135839720,A Home with No Color,a2b0e3e221c27faf1598f24a1f6d75d3bf9f5b9ee0c197b3c6726394dedd7879,Una Casa Senza Colori
1137428831,"<style=Hint_BgL>Temporary item. Usable only in this game; cannot be taken out during evacuation.</style>
Significantly increases damage against targets on <style=Hint_BgL>Chaos and Nightmare difficulties or lower</style>.
With chips installed, <style=Hint_BgL>slightly increases damage and load capacity</style>, and grants the Pathfinder access to <style=Hint_BgL>tactical skills</style>.",d1dd74be51dfa41a559702455902aa26eaaabb446ae923e4a250617851357537,"<style=Hint_BgL>Oggetto temporaneo. Utilizzabile solo in questa partita; non può essere portato fuori durante l'evacuazione.</style>
Aumenta notevolmente i danni contro i <style=Hint_BgL>bersagli a difficoltà Caos, Incubo o inferiore</style>.
Con un chip installato, <style=Hint_BgL>aumenta leggermente danni e capacità di carico</style> e consente all'Esploratore di accedere alle <style=Hint_BgL>abilità tattiche</style>."
1139318123,You've reached this week's limit for Season Stamps earned in Holo-Battle Interlink.,c874ba5b400ab72d3a7a7cb2bc343def095c608aa0047726cb23e2f8365a2c7a,Hai raggiunto il limite di questa settimana per i Timbri Stagionali ottenuti nell'Interlink Holo-Battle.
1141567807,Sleeping,12ff393b061d94ebc405a828c5e43e9b5fa948d6cbaf844afb2e9064e45d8de2,Sonno
1142870367,"Your Illusory Aniimo count has reached the limit: <style=Hint_BgL>{0}/{1}</style>. If you choose to make this Aniimo Illusory, your Aniimo <style=Hint_BgL>{2}</style> will lose its Illusory state. Continue?",4fa184d1fde88e164ca2ce323e3b74796307d8c926137c60f26be02a5662c431,"Hai raggiunto il limite di Aniimo Illusori: <style=Hint_BgL>{0}/{1}</style>. Se scegli di rendere Illusorio questo Aniimo, il tuo Aniimo <style=Hint_BgL>{2}</style> perderà il suo stato Illusorio. Continuare?"
1144519286,"An egg containing extremely rare Prismana energy. Its shell shimmers with flowing light, and its life signs are exceptionally strong. It is guaranteed to hatch into a <style=Hint_BgL>Prismana Form</style> Aniimo, and using a Sparkling Cube on it may grant the <style=Hint_BgL>Shadow Sparkling</style> mutation.",87066f80bfc3629ebb19815d66c186ecc30a6170f72b0f190fd9bad4bfa40f74,Un uovo che racchiude rarissima energia Prismana. Una luce cangiante ne percorre il guscio e i suoi segnali vitali sono eccezionalmente intensi. Da questo uovo nascerà sicuramente un Aniimo in <style=Hint_BgL>Forma Prismana</style>; usare un Cubo Scintillante su di esso potrebbe conferirgli la mutazione <style=Hint_BgL>Scintillio d'Ombra</style>.
1148212498,Illusory Basic Capacity Expansion Chip,528d52adc96ffcd171bda5073705389f72e4b2adbea9ce12447af4f22cb8037b,Chip Espansione Capacità Base Illusorio
1148881294,BREAK Pursuit,cc32760ca813f23eae6b356246041826ba142b2c363cf514d9aa83d2bbb619dc,Inseguimento BREAK
